A_X [mg];A_Y [mg];A_Z [mg];Y
-90;1146;-197;biking
-2;1218;-161;biking
14;1086;-136;biking
-22;1086;-122;biking
-58;986;-70;biking
-425;1150;-257;biking
-479;969;-266;biking
-188;678;-73;biking
-230;753;-105;biking
-96;800;-86;biking
-65;785;-102;biking
-225;879;-84;biking
-184;953;-117;biking
-80;1014;-45;biking
-270;967;-58;biking
-275;828;87;biking
161;1017;536;biking
-29;1348;-59;biking
-56;1129;-213;biking
218;891;-59;biking
124;1100;-94;biking
160;1102;11;biking
186;1109;-395;biking
108;1207;-253;biking
-38;886;84;biking
-295;869;29;biking
-186;1034;-49;biking
-4;1026;14;biking
-186;1133;-25;biking
-305;1129;-32;biking
-394;905;157;biking
-494;886;94;biking
-315;1156;-30;biking
-100;743;-88;biking
-191;365;-155;biking
-236;797;-46;biking
-93;1288;-47;biking
-174;1444;-128;biking
-246;1246;-19;biking
-37;1018;-30;biking
13;995;-68;biking
14;1193;-110;biking
-210;1156;-131;biking
-198;406;-80;biking
27;127;-74;biking
-68;745;-184;biking
212;1113;-397;biking
188;1236;-318;biking
-59;975;-200;biking
58;929;-245;biking
134;1154;-239;biking
108;988;-313;biking
45;1092;-337;biking
-32;1320;-287;biking
-16;1144;-369;biking
48;913;-315;biking
-67;892;-246;biking
-10;623;-227;biking
115;497;-268;biking
43;755;-362;biking
36;928;-361;biking
-70;1231;-531;biking
-201;1298;-565;biking
-208;953;-337;biking
-208;825;-254;biking
-240;856;-347;biking
-212;873;-406;biking
-194;1043;-453;biking
-236;1073;-573;biking
-332;1104;-652;biking
-496;1297;-567;biking
-236;857;-339;biking
-170;672;-285;biking
-353;653;-501;biking
-210;346;-600;biking
-205;670;-579;biking
-278;836;-595;biking
-353;862;-514;biking
-262;929;-522;biking
-236;800;-585;biking
-296;747;-528;biking
-237;850;-445;biking
-263;891;-310;biking
-173;724;-308;biking
-44;772;-327;biking
-88;1009;-134;biking
-159;977;-356;biking
-132;957;-611;biking
-210;1054;-467;biking
-312;1011;-567;biking
-112;1042;-691;biking
96;1087;-641;biking
-39;981;-653;biking
-172;851;-591;biking
155;724;-480;biking
493;552;-426;biking
447;467;-556;biking
260;489;-837;biking
177;407;-757;biking
399;187;-557;biking
696;143;-825;biking
839;382;-1123;biking
853;494;-1085;biking
828;482;-954;biking
871;684;-1015;biking
778;618;-897;biking
704;222;-321;biking
1076;168;-148;biking
1345;103;-211;biking
1182;5;-34;biking
1008;63;-151;biking
801;69;-397;biking
652;-79;-466;biking
729;-280;-611;biking
640;-197;-729;biking
402;-333;-706;biking
384;-562;-587;biking
487;-431;-858;biking
407;-331;-1168;biking
295;-496;-1022;biking
405;-618;-1068;biking
401;-479;-1148;biking
181;-435;-954;biking
180;-566;-838;biking
296;-583;-937;biking
267;-484;-998;biking
222;-415;-1043;biking
214;-422;-974;biking
209;-487;-830;biking
186;-525;-966;biking
155;-523;-975;biking
116;-529;-871;biking
102;-517;-823;biking
109;-521;-841;biking
123;-509;-1042;biking
107;-437;-1027;biking
44;-402;-797;biking
57;-397;-728;biking
78;-417;-813;biking
72;-446;-903;biking
87;-508;-843;biking
71;-567;-729;biking
31;-549;-802;biking
28;-587;-874;biking
38;-639;-795;biking
12;-602;-730;biking
39;-593;-769;biking
-11;-589;-859;biking
-40;-574;-677;biking
-27;-554;-672;biking
-119;-512;-995;biking
-109;-523;-964;biking
-86;-550;-973;biking
-33;-659;-879;biking
-34;-681;-703;biking
-170;-591;-833;biking
-105;-575;-934;biking
19;-537;-958;biking
-37;-473;-840;biking
-67;-433;-681;biking
-75;-430;-757;biking
-39;-466;-682;biking
2;-518;-562;biking
-6;-626;-695;biking
-25;-700;-708;biking
-53;-703;-700;biking
28;-770;-770;biking
49;-798;-678;biking
-84;-759;-628;biking
-185;-699;-782;biking
-137;-696;-809;biking
-67;-818;-736;biking
-94;-825;-806;biking
-131;-697;-896;biking
-133;-698;-939;biking
-68;-694;-980;biking
50;-574;-952;biking
68;-552;-803;biking
17;-562;-750;biking
-20;-595;-740;biking
31;-741;-940;biking
159;-704;-1426;biking
113;-472;-1271;biking
14;-385;-689;biking
-19;-442;-456;biking
20;-590;-577;biking
169;-689;-813;biking
152;-706;-926;biking
37;-721;-1077;biking
93;-612;-1217;biking
105;-553;-1043;biking
74;-481;-780;biking
21;-415;-545;biking
-52;-542;-473;biking
-8;-694;-747;biking
114;-780;-1182;biking
229;-668;-1432;biking
158;-380;-1088;biking
40;-255;-613;biking
-3;-297;-444;biking
-19;-454;-423;biking
131;-700;-688;biking
304;-773;-1151;biking
247;-691;-1300;biking
124;-591;-1121;biking
81;-483;-968;biking
87;-407;-852;biking
95;-398;-694;biking
106;-438;-642;biking
127;-462;-709;biking
126;-470;-789;biking
108;-543;-897;biking
94;-607;-1056;biking
112;-567;-1214;biking
69;-467;-1142;biking
14;-469;-964;biking
45;-526;-918;biking
58;-531;-907;biking
39;-544;-915;biking
61;-534;-946;biking
112;-524;-991;biking
104;-509;-977;biking
48;-512;-936;biking
71;-539;-997;biking
113;-526;-1047;biking
104;-517;-1022;biking
138;-509;-1008;biking
173;-484;-947;biking
175;-466;-853;biking
152;-468;-800;biking
122;-498;-785;biking
169;-547;-848;biking
210;-532;-947;biking
176;-482;-956;biking
162;-504;-881;biking
142;-503;-827;biking
120;-494;-810;biking
117;-535;-804;biking
106;-560;-832;biking
79;-546;-876;biking
40;-530;-914;biking
56;-541;-952;biking
79;-553;-916;biking
60;-569;-856;biking
38;-554;-918;biking
11;-540;-968;biking
-8;-557;-962;biking
6;-565;-1036;biking
24;-545;-1174;biking
22;-476;-1267;biking
-17;-434;-1159;biking
-21;-425;-1039;biking
71;-472;-1059;biking
165;-486;-1090;biking
149;-441;-959;biking
98;-503;-759;biking
106;-570;-767;biking
96;-573;-815;biking
104;-592;-868;biking
139;-552;-1037;biking
165;-433;-1139;biking
153;-389;-1005;biking
165;-441;-857;biking
284;-485;-831;biking
340;-531;-686;biking
284;-597;-556;biking
163;-665;-637;biking
39;-765;-819;biking
59;-899;-1138;biking
208;-865;-1472;biking
283;-587;-1334;biking
193;-375;-775;biking
59;-373;-395;biking
-47;-456;-309;biking
-127;-595;-372;biking
-102;-704;-616;biking
-10;-774;-973;biking
62;-820;-1287;biking
118;-703;-1403;biking
119;-517;-1180;biking
106;-406;-731;biking
87;-397;-438;biking
10;-510;-392;biking
-11;-588;-509;biking
86;-572;-785;biking
182;-574;-1186;biking
222;-525;-1498;biking
188;-438;-1319;biking
92;-434;-831;biking
88;-468;-616;biking
73;-473;-643;biking
30;-447;-729;biking
82;-405;-884;biking
97;-356;-961;biking
60;-284;-947;biking
31;-238;-875;biking
87;-308;-726;biking
113;-458;-596;biking
61;-515;-698;biking
97;-492;-1013;biking
138;-503;-1231;biking
95;-449;-1220;biking
46;-354;-1057;biking
59;-366;-854;biking
94;-361;-765;biking
89;-329;-710;biking
67;-345;-758;biking
68;-300;-915;biking
67;-285;-880;biking
10;-369;-778;biking
-33;-424;-855;biking
59;-425;-1206;biking
47;-312;-1371;biking
-31;-266;-1098;biking
39;-383;-817;biking
100;-415;-727;biking
90;-408;-742;biking
-24;-441;-719;biking
-96;-478;-823;biking
-28;-390;-1181;biking
-18;-305;-1337;biking
15;-395;-1228;biking
146;-435;-1146;biking
199;-427;-1003;biking
249;-492;-904;biking
278;-455;-942;biking
171;-382;-1032;biking
83;-388;-1032;biking
72;-408;-1006;biking
4;-456;-993;biking
-29;-557;-1006;biking
-20;-521;-1308;biking
-116;-259;-1557;biking
-77;-180;-1269;biking
56;-235;-836;biking
79;-294;-464;biking
79;-399;-522;biking
25;-364;-861;biking
-22;-402;-928;biking
