mean_x;mean_y;mean_z;var_x;var_y;var_z;peak_to_peak_x;peak_to_peak_y;peak_to_peak_z;zero_crossings_x;zero_crossings_y;zero_crossings_z;Activity
-387.03;39.93;928.63;680.9;4478.4;3382.1;107;268;250;0;10;0;Driving
-392.0;52.67;935.27;1039.67;5822.69;3400.13;156;314;291;0;10;0;Driving
-386.13;54.9;927.33;752.98;7376.89;2092.42;106;317;190;0;10;0;Driving
-380.87;43.4;924.23;633.72;6198.84;2569.25;111;264;184;0;11;0;Driving
-385.2;38.93;932.83;673.56;6421.73;4004.41;120;310;230;0;14;0;Driving
-379.97;35.77;917.6;2530.17;5772.91;3618.31;202;300;227;0;12;0;Driving
-360.47;50.0;939.33;749.78;5631.33;2821.69;105;273;273;0;14;0;Driving
-360.03;32.97;904.7;944.1;5902.57;1374.08;102;284;164;0;14;0;Driving
-407.0;27.13;916.23;693.33;4051.38;3727.91;111;237;269;0;13;0;Driving
-388.13;31.37;929.43;1094.65;5436.57;2707.65;123;290;224;0;11;0;Driving
-392.5;45.87;928.47;569.12;5042.78;2033.78;110;255;180;0;12;0;Driving
-396.57;41.33;924.9;516.45;4697.56;2378.09;82;329;220;0;14;0;Driving
-379.03;38.6;929.17;608.63;5197.31;2380.81;114;284;217;0;15;0;Driving
-396.23;56.23;916.17;1324.18;8472.98;3476.34;136;350;220;0;12;0;Driving
-392.2;54.13;936.43;787.63;5252.25;3083.45;125;248;239;0;13;0;Driving
-411.33;82.53;902.87;1440.16;5988.72;4269.58;139;284;326;0;8;0;Driving
-431.77;64.43;904.8;1431.91;5317.58;2554.56;182;355;206;0;10;0;Driving
-456.03;35.5;898.73;1329.17;4796.72;4878.86;133;360;227;0;16;0;Driving
-502.5;31.9;882.67;4484.12;2984.36;2614.89;227;230;195;0;11;0;Driving
-570.9;-7.37;828.8;1645.96;3538.03;3983.96;208;224;390;0;14;0;Driving
-576.23;-2.87;844.53;921.78;4010.65;1303.58;141;299;194;0;15;0;Driving
-527.23;-65.47;864.27;1884.91;3831.72;828.6;163;254;145;0;5;0;Driving
-332.63;-70.87;947.27;8946.23;3588.78;2886.06;394;225;248;0;7;0;Driving
-353.67;25.13;936.5;4101.42;2246.12;1010.32;285;178;125;0;8;0;Driving
-379.47;254.17;906.9;1840.12;5874.47;1571.42;184;281;176;0;0;0;Driving
-429.13;376.77;877.8;673.38;2686.38;3137.69;119;225;222;0;0;0;Driving
-397.07;296.8;896.1;2780.93;11410.56;3607.36;233;520;266;0;2;0;Driving
-271.97;-104.77;980.1;1699.77;10806.58;2740.49;208;363;213;0;7;0;Driving
-222.6;-102.53;980.37;1508.57;6530.45;2575.77;172;368;201;0;2;0;Driving
-241.93;46.8;978.67;1619.2;6217.03;3792.42;162;323;243;0;17;0;Driving
-314.7;47.17;958.0;8439.34;5298.14;14361.6;350;298;611;0;8;0;Driving
-304.6;83.53;952.07;667.64;2630.58;4376.73;120;241;247;0;2;0;Driving
-291.63;122.67;979.3;2124.63;14138.09;7685.14;213;464;365;0;6;0;Driving
-321.37;121.27;936.73;3596.17;9474.66;8210.53;357;431;379;0;4;0;Driving
-301.6;83.13;955.83;1209.64;3276.58;4414.34;167;241;269;0;2;0;Driving
-360.97;96.83;936.13;2343.83;4373.74;4357.78;179;351;295;0;2;0;Driving
-329.03;76.27;943.6;1002.03;2663.93;2853.17;145;200;230;0;4;0;Driving
-341.87;50.83;949.63;656.78;3870.14;1065.5;114;241;167;0;11;0;Driving
-371.8;40.83;919.53;3422.03;3294.14;3804.12;224;264;264;0;5;0;Driving
-337.63;77.63;939.53;2545.1;4124.37;7004.12;198;283;367;0;6;0;Driving
-339.17;50.57;941.37;2466.01;3092.25;7451.63;233;190;390;0;12;0;Driving
-337.53;71.1;930.8;976.12;4349.09;2895.36;113;264;196;0;6;0;Driving
-365.07;55.6;949.03;760.86;2999.57;1169.03;103;254;160;0;6;0;Driving
-363.6;47.43;927.37;876.64;2132.11;5153.23;117;151;324;0;13;0;Driving
-381.47;51.1;926.0;756.12;3463.69;2641.53;103;236;232;0;10;0;Driving
